Date,Close/Last,Volume,Open,High,Low
08/16/2021,$282.17,3109899,$288.41,$292.2,$276.44
08/13/2021,$291.52,3281121,$285.6,$291.77,$282.75
08/12/2021,$286.28,4200252,$278.69,$287.98,$275.3
08/11/2021,$275.87,1746996,$276.1,$277.99,$270.73
08/10/2021,$274.49,2510950,$278,$280.48,$272.66
08/09/2021,$280,2736825,$277.76,$281.98,$276.5001
08/06/2021,$277.48,3019606,$275.71,$278.4028,$269.69
08/05/2021,$276.99,2539675,$270.65,$278.47,$268.41
08/04/2021,$273.37,4787011,$278.06,$278.93,$269.9
08/03/2021,$284.58,7741413,$272,$285.84,$271.24
08/02/2021,$268.29,1912241,$266.04,$271.09,$261.5401
07/30/2021,$265.72,1765506,$265,$272.88,$264.1
07/29/2021,$268.26,2208292,$270,$274.99,$267.35
07/28/2021,$269.36,1712665,$262.51,$270.98,$261.1155
07/27/2021,$262.68,2949525,$268.5,$269.36,$255
07/26/2021,$268.8,2488079,$262.69,$269.75,$262.21
07/23/2021,$264.92,2634805,$267.34,$271.61,$264.27
07/22/2021,$267.3,2979391,$261.9,$269.17,$261.36
07/21/2021,$259.3,1939131,$255.67,$260.5699,$251.14
07/20/2021,$256.27,1659740,$253,$259.1899,$248.63
07/19/2021,$252.28,2338783,$245.94,$254.35,$242.01
07/16/2021,$250.82,2255094,$251.56,$253.42,$245.5
07/15/2021,$251,3342472,$254.59,$257.63,$247.1993
07/14/2021,$252.54,3287250,$268.91,$269.6765,$252.06
07/13/2021,$264.62,6241644,$266.44,$275,$263.72
07/12/2021,$267.06,4560148,$267.5,$269.35,$258.88
07/09/2021,$269.49,9866510,$250,$272,$249.82
07/08/2021,$250.3,3833718,$243.14,$254,$241.23
07/07/2021,$248.75,3688323,$242,$249.24,$241.03
07/06/2021,$239.05,1982842,$235.05,$241.09,$234.78
07/02/2021,$237.24,1333917,$239.5,$241.21,$236.9
07/01/2021,$236.75,2350066,$240.42,$241.64,$235.7161
06/30/2021,$241.8,3024592,$244.29,$245.17,$238.64
06/29/2021,$245.8,2291743,$248,$251,$245.08
06/28/2021,$247.67,3081385,$248.43,$249.48,$243.62
06/25/2021,$247.09,9235731,$252,$253.27,$247.02
06/24/2021,$251.25,3388514,$250,$253.32,$247.37
06/23/2021,$249,2696274,$248.1,$250.1,$244.47
06/22/2021,$249.29,5905311,$247,$252.82,$245.36
06/21/2021,$248.29,4794352,$247.22,$250,$241.65
06/18/2021,$249.4,6413040,$246.57,$250,$243.05
06/17/2021,$245.53,6603887,$234.5,$248.68,$231.52
06/16/2021,$238.84,5125162,$239.81,$243.7954,$235.5822
06/15/2021,$241.41,2660133,$244.72,$247.358,$239.5154
06/14/2021,$244.2,3855256,$242.7,$248.1,$241.27
06/11/2021,$240.6,7123197,$239,$242.53,$233.75
06/10/2021,$248.8,3073196,$247.3,$250.7,$243.5417
06/09/2021,$247.01,4214676,$250.35,$255,$245.72
06/08/2021,$250.32,3618311,$252.99,$255.99,$246.645
06/07/2021,$250.57,7385871,$244.65,$252.55,$240.005
06/04/2021,$242.56,2630028,$240.73,$244.86,$237.5
06/03/2021,$238.43,3598135,$240,$243.23,$233.36
06/02/2021,$243.18,4016286,$240.74,$248.2,$239.6
06/01/2021,$240.81,3772977,$239.5,$243.56,$235.51
05/28/2021,$238.03,5763230,$238.2,$244.22,$237
05/27/2021,$245.15,17722060,$226.5,$246.475,$220
05/26/2021,$235.25,6346408,$231,$236.36,$228.3
05/25/2021,$229.96,2863759,$236.53,$236.7,$228.5734
05/24/2021,$233.92,2475288,$235,$236.94,$231.78
05/21/2021,$233.39,3786898,$230.85,$235.25,$230.79
05/20/2021,$230.56,6326900,$229.76,$236.17,$227.43
05/19/2021,$228.81,4644908,$214.82,$229,$213.68
05/18/2021,$223.53,6401556,$219.44,$227.13,$214.75
05/17/2021,$212.65,4650834,$208.45,$217.8,$205.45
05/14/2021,$209.99,7829228,$196,$210.88,$194.62
05/13/2021,$188.24,3816525,$193,$196.5,$184.71
05/12/2021,$191.38,5558892,$196,$196.4,$189.77
05/11/2021,$201.46,5002646,$189.66,$204.27,$187.1
05/10/2021,$193.82,5662522,$202.2,$204.63,$192.61
05/07/2021,$206.04,5976688,$206.49,$214.32,$205.215
05/06/2021,$199.84,8326659,$210,$211.83,$192.41
05/05/2021,$213.79,1544116,$220.24,$222.095,$211.89
05/04/2021,$218.4,2653046,$220.41,$220.7,$213.9
05/03/2021,$223.69,1939411,$232.3,$232.815,$222.88
04/30/2021,$231.59,1893545,$226.75,$235.99,$226
04/29/2021,$229.55,2415352,$236.5,$237.8058,$227.099
04/28/2021,$236.64,1347021,$236,$239.72,$234.1
04/27/2021,$238.17,2079613,$239.8,$241.22,$234.19
04/26/2021,$237.75,2034985,$235.73,$241.06,$234.57
04/23/2021,$235.64,1329739,$231.44,$236.58,$231.44
04/22/2021,$231.44,2045080,$233.33,$239,$229.23
04/21/2021,$231.39,1454840,$222,$231.87,$221.6771
04/20/2021,$225.22,2869352,$229,$231.25,$220.5
04/19/2021,$229.07,1917065,$230,$233.9,$225.46
04/16/2021,$232.74,1574991,$235.73,$235.96,$229
04/15/2021,$236.38,2262603,$232.99,$236.8,$232.1
04/14/2021,$229.14,3503649,$240,$243.49,$228.4
04/13/2021,$238.08,3031072,$234.5,$239.78,$232.33
04/12/2021,$233.39,2376227,$225,$234.1591,$223.79
04/09/2021,$226.89,5352965,$233.58,$234.66,$223.73
04/08/2021,$233.75,4667912,$237.2,$242.87,$233.01
04/07/2021,$233.97,2072243,$234.51,$240,$232.38
04/06/2021,$236.01,2433733,$232,$239.41,$229.53
04/05/2021,$232.32,2235499,$237.8,$238.5,$229.5
04/01/2021,$236.79,2905146,$234.95,$237.59,$232.02
03/31/2021,$229.28,3680187,$222.72,$234.06,$222.45
03/30/2021,$222.07,3496450,$221.35,$224.77,$216.26
03/29/2021,$223.49,4373889,$230.55,$236.22,$221.04
03/26/2021,$235,8978704,$220,$235,$219
03/25/2021,$216.95,4404852,$206.39,$218.71,$205.07
03/24/2021,$208.6,4586235,$221,$223.62,$208.6
03/23/2021,$220,3550246,$224,$229.25,$218.173
03/22/2021,$220.75,2743590,$220.82,$224.07,$220.27
03/19/2021,$220.82,5685976,$216.5,$223.29,$215.26
03/18/2021,$216.7,3970694,$227.63,$227.71,$216.1
03/17/2021,$230.3,3934591,$223,$233.33,$223
03/16/2021,$232.14,5563973,$239,$242.5,$229.01
03/15/2021,$238.76,8004291,$230.98,$241.6,$230.75
03/12/2021,$230,3741743,$233.83,$235.65,$227.75
03/11/2021,$237.81,5731082,$235,$241.5479,$233.2
03/10/2021,$227.11,7872912,$229.32,$235.35,$221.43
03/09/2021,$230.02,6302432,$221.84,$235.47,$219.16
03/08/2021,$213.99,8311400,$235,$241.16,$212.29
03/05/2021,$239.73,20149060,$250.64,$250.73,$217.8197
03/04/2021,$249,15923130,$255.82,$279.45,$236
03/03/2021,$247.03,6234464,$270,$271.4,$246.36
03/02/2021,$270.6,2833395,$270,$280.1,$270
03/01/2021,$272.17,2762273,$269.3,$273.71,$263.29
02/26/2021,$259.54,2593106,$264.22,$266.66,$254.31
02/25/2021,$260.34,2900264,$270.18,$275.49,$255.25
02/24/2021,$273.52,2104284,$268.88,$275.25,$262.36
02/23/2021,$269.08,4018270,$260.4,$271,$242.98
02/22/2021,$269.65,3820128,$287.46,$287.77,$268
02/19/2021,$290,2305449,$292.49,$298,$287.59
02/18/2021,$289.78,2257965,$285,$296.95,$281.3054
02/17/2021,$288.78,1710305,$289,$292.82,$283.265
02/16/2021,$294.55,1986250,$304.7,$304.9876,$290.16
02/12/2021,$299.47,1518585,$299,$303.3445,$292.34
02/11/2021,$298.73,2344595,$305.25,$312.3,$296.38
02/10/2021,$305.91,3425306,$324.8,$327.41,$300
02/09/2021,$314.29,4355379,$304.5,$323.23,$302.275
02/08/2021,$304.5,2395043,$308.71,$317.8951,$302.03
02/05/2021,$306.05,1757791,$306.07,$307.07,$299.64
02/04/2021,$303.61,2192555,$309.8,$310.88,$299.03
02/03/2021,$304.64,4629249,$309.04,$318.88,$300.54
02/02/2021,$300.71,7223949,$289.71,$310.66,$286.5
02/01/2021,$282,2226874,$275.1,$283.2,$273.38
01/29/2021,$272.45,2176969,$271,$277.7784,$267.5
01/28/2021,$273.13,2435233,$277.02,$283,$268.4234
01/27/2021,$266.2,4387660,$277,$285.75,$264
01/26/2021,$280.98,1951525,$286.64,$289.24,$280.98
01/25/2021,$287.25,3750913,$292.45,$296.81,$276
01/22/2021,$285.68,2053625,$284.29,$287.48,$279
01/21/2021,$286.32,1893952,$288,$289.58,$282.6
01/20/2021,$281.88,2259898,$289,$289.1,$280.88
01/19/2021,$286.21,3143562,$293.75,$295,$284.04
01/15/2021,$291.3,3209914,$306.82,$308.67,$290.65
01/14/2021,$303.76,4585768,$305,$313.48,$300.01
01/13/2021,$296.55,2867853,$295,$306.86,$294.15
01/12/2021,$293.35,3256655,$298,$299.66,$286.2056
01/11/2021,$293.19,4524725,$295,$312.17,$287.99
01/08/2021,$300.1,9106784,$315,$325.72,$298
01/07/2021,$304.2,16546600,$272.59,$304.9,$267.7
01/06/2021,$268.02,5736765,$279.99,$283.6394,$266.41
01/05/2021,$283.83,5202595,$280.62,$293.49,$279.3
01/04/2021,$278.24,3948459,$285.41,$290.8,$274.44
12/31/2020,$281.4,5313844,$299.7,$301.5605,$280.73
12/30/2020,$300.92,2631182,$304,$307.35,$297.75
12/29/2020,$304.05,4827386,$305.25,$314.41,$298.13
12/28/2020,$302.81,4756552,$324.87,$327.79,$302.67
12/24/2020,$323.04,2191153,$334.1,$338,$321.3
12/23/2020,$331.65,2745838,$341.16,$343.3999,$328.26
12/22/2020,$341.16,4699150,$349.89,$359.55,$338.01
12/21/2020,$349.85,5879545,$329,$350,$329
12/18/2020,$334.25,8115955,$332.77,$346.88,$324.88
12/17/2020,$325.54,3717078,$333.82,$337.1,$323.4933
12/16/2020,$329.97,6427651,$328.43,$338.89,$320.09
12/15/2020,$328.61,20379220,$308.98,$329,$303.54
12/14/2020,$329.15,6977058,$352.49,$357.9799,$327.16
12/11/2020,$353.96,6362584,$360.4,$369.1,$347.26
12/10/2020,$373.28,4906271,$362,$390.07,$360.61
12/09/2020,$371.26,8980225,$393.4,$406.99,$361.0123
12/08/2020,$390,11511710,$388.8,$429,$386.25
12/07/2020,$388.96,8134890,$393.5,$404.43,$371
12/04/2020,$387.7,18611660,$335.4,$395.8,$334
12/03/2020,$339.89,11102620,$290.54,$343,$289
12/02/2020,$292.69,3575325,$293.79,$306.74,$288
12/01/2020,$305.64,2659313,$321.63,$326,$302.28
11/30/2020,$325.84,3550372,$338.38,$342,$312.13
11/27/2020,$328.79,3293763,$310,$334.62,$309.73
11/25/2020,$303.02,2912120,$277.78,$309.7699,$277.3
11/24/2020,$282.1,1735156,$275.1,$283.39,$267.49
11/23/2020,$274.15,1357373,$267.1,$274.15,$259.1
11/20/2020,$266,1598060,$269,$273.165,$264
11/19/2020,$264,1592070,$259.21,$268.57,$253.25
11/18/2020,$260.54,2202331,$253,$262.27,$250.735
