Date,Close/Last,Volume,Open,High,Low
04/18/2018,$144.0149,20366390,$147.2574,$147.7316,$143.5019
04/17/2018,$155.7459,10030300,$153.723,$156.8009,$153.4229
04/16/2018,$152.8228,4183034,$152.9196,$154.0327,$152.6099
04/13/2018,$151.6807,3886410,$153.5778,$154.1101,$150.9064
04/12/2018,$152.997,5632531,$151.7194,$153.8778,$151.642
04/11/2018,$150.374,3209656,$149.4158,$150.7805,$148.9415
04/10/2018,$150.4031,3834517,$150.0546,$151.5791,$149.7836
04/09/2018,$147.7897,4410622,$146.9283,$149.6965,$146.8734
04/06/2018,$145.7377,3672651,$148.535,$149.0093,$144.7408
04/05/2018,$149.0867,3170798,$149.4835,$149.9481,$148.4188
04/04/2018,$149.1738,4801403,$143.1438,$149.5126,$142.7179
04/03/2018,$145.0408,4134866,$145.9604,$146.1539,$143.5406
04/02/2018,$145.2538,5136191,$148.4188,$148.4576,$143.6664
03/29/2018,$148.506,3419328,$148.1575,$148.9512,$146.2314
03/28/2018,$147.6252,3664480,$147.1896,$148.9222,$147.0154
03/27/2018,$147.0347,3875906,$149.0093,$149.8995,$146.3088
03/26/2018,$148.4479,4102976,$146.3572,$148.7257,$145.457
03/23/2018,$144.1117,4427791,$147.3638,$147.6832,$143.7739
03/22/2018,$147.209,4739788,$150.0256,$150.2674,$147.1218
03/21/2018,$151.6613,3481845,$151.5452,$153.1229,$150.916
03/20/2018,$151.1871,4335687,$152.4647,$152.8615,$150.3063
03/19/2018,$152.3002,5454834,$154.5844,$154.7585,$151.429
03/16/2018,$155.1168,9206814,$154.9232,$156.7816,$154.5167
03/15/2018,$154.4876,3863182,$153.6165,$156.075,$153.4326
03/14/2018,$153.0454,3630206,$155.0296,$155.5233,$152.6776
03/13/2018,$154.2069,4124286,$154.9522,$156.9095,$153.7133
03/12/2018,$155.1168,5061463,$154.5167,$155.8524,$153.7714
03/09/2018,$154.1972,5019427,$152.4163,$154.461,$152.2518
03/08/2018,$151.1967,6391534,$153.8972,$154.4489,$150.0933
03/07/2018,$153.239,4312067,$150.0256,$153.7327,$149.7642
03/06/2018,$150.7225,3592913,$152.2324,$152.8228,$150.1773
03/05/2018,$151.913,3670382,$149.1738,$152.4357,$148.8157
03/02/2018,$149.5319,3260903,$147.8865,$149.7933,$147.0057
03/01/2018,$148.8738,4037578,$150.5386,$151.9364,$147.8865
02/28/2018,$150.8289,3793433,$152.4453,$153.0647,$150.7999
02/27/2018,$151.5258,4233110,$153.3745,$154.6522,$151.5065
02/26/2018,$153.4907,3598083,$150.8096,$153.781,$150.5192
02/23/2018,$150.5289,3251395,$149.348,$150.8531,$149.1254
02/22/2018,$148.264,4019720,$149.5416,$150.0643,$147.8865
02/21/2018,$149.0189,3724635,$150.4418,$151.7581,$148.9609
02/20/2018,$150.1804,4482762,$150.7902,$150.9548,$148.9318
02/16/2018,$151.1677,4253815,$150.7128,$152.7265,$150.6934
02/15/2018,$151.0032,5527366,$150.5095,$151.8259,$148.7673
02/14/2018,$149.7933,5474399,$145.3699,$150.0256,$145.186
02/13/2018,$145.912,4865333,$146.0572,$146.3272,$144.8376
02/12/2018,$146.5411,5839248,$146.0572,$147.509,$145.4764
02/09/2018,$144.7118,7783434,$143.831,$145.7087,$139.7614
02/08/2018,$142.8534,6765434,$147.5864,$148.2446,$142.7663
02/07/2018,$148.9125,6138776,$149.2222,$150.3547,$148.3608
02/06/2018,$150.3547,9854125,$145.4667,$150.4998,$144.3246
02/05/2018,$147.6348,8674946,$152.8228,$153.4132,$145.186
02/02/2018,$153.9262,5228394,$156.5105,$156.8009,$153.7678
02/01/2018,$157.1881,4431977,$157.9527,$158.8626,$156.7041
01/31/2018,$158.4464,4072020,$158.4948,$159.695,$157.5375
01/30/2018,$158.3689,4901284,$160.8758,$161.4178,$157.9189
01/29/2018,$161.4469,3514482,$162.076,$162.9858,$160.6822
01/26/2018,$161.9695,3772739,$160.7887,$162.0414,$160.4693
01/25/2018,$160.1596,3300971,$160.5854,$161.4275,$159.8885
01/24/2018,$160.0628,5557156,$161.3985,$163.3053,$159.5304
01/23/2018,$160.9145,7460921,$157.5946,$160.9242,$157.2946
01/22/2018,$157.3817,8456949,$156.3266,$158.7174,$155.9395
01/19/2018,$157.159,21086490,$159.182,$160.0918,$156.1234
01/18/2018,$163.6924,13427660,$164.5442,$165.6379,$162.7535
01/17/2018,$163.2375,11671060,$162.618,$163.6975,$161.8921
01/16/2018,$158.5915,7589422,$159.8014,$159.9853,$158.1076
01/12/2018,$157.9043,5026753,$158.7561,$159.453,$157.7979
01/11/2018,$158.9303,3791309,$159.5111,$159.6466,$158.0592
01/10/2018,$158.911,4168553,$157.6817,$159.0561,$157.2849
01/09/2018,$158.5722,4338857,$158.6399,$159.2497,$157.8269
01/08/2018,$158.2237,5236536,$157.4397,$158.6448,$156.5115
